"Pass []","re(Mode(1)) [g]","re(Mode(2)) [g]"
1,3.64851795992282,4.88891549090776
2,4.78603144970595,5.99150713647016
3,5.13215171278747,6.27933074945909
4,5.32933201057546,6.47227805053033
5,5.39732200540254,6.54476703862469
6,5.4528129585949,6.60120509761823
7,5.4981694232505,6.64253622308794
8,5.52634466689521,6.67195891216424
9,5.54475651081102,6.69916828723943
10,5.5596993784829,6.72091022522578
11,5.57754662709702,6.73321987057632
12,5.59166138797335,6.74408058688349
13,5.6031191680899,6.7500331408524
14,5.61258322777672,6.75776852651895
15,5.62106935075676,6.76231750223289
